bash: module: line 1: syntax error: unexpected end of file
bash: error importing function definition for `module'
000001
12
hdfs://babar.local:54310/user/hl1283/rgfout
login-3-33.local
Starting training
perl ./call_exe.pl ./rgf train_test ./long login-3-33.local 1245 12 000001
connecting to login-3-33.local:22222
@VIS: 47.503 31-1 31-4
@VIS: 47.9907 31-3 31-5
@VIS: 47.9907 31-3 31-6
@VIS: 47.991 opt
@VIS: 50.9924 root 32-0
@VIS: 50.9924 32-0 32-1
@VIS: 50.9924 32-0 32-2
@VIS: 51.8089 root 33-0
@VIS: 51.8089 33-0 33-1
@VIS: 51.8089 33-0 33-2
@VIS: 52.4062 root 34-0
@VIS: 52.4062 34-0 34-1
@VIS: 52.4062 34-0 34-2
@VIS: 52.9766 root 35-0
@VIS: 52.9766 35-0 35-1
@VIS: 52.9766 35-0 35-2
@VIS: 54.2059 35-1 35-3
@VIS: 54.2059 35-1 35-4
@VIS: 54.6959 root 36-0
@VIS: 54.6959 36-0 36-1
@VIS: 54.6959 36-0 36-2
@VIS: 55.2501 36-1 36-3
@VIS: 55.2501 36-1 36-4
@VIS: 55.9894 root 37-0
@VIS: 55.9894 37-0 37-1
@VIS: 55.9894 37-0 37-2
@VIS: 56.7547 37-1 37-3
@VIS: 56.7547 37-1 37-4
@VIS: 57.4587 root 38-0
@VIS: 57.4587 38-0 38-1
@VIS: 57.4587 38-0 38-2
@VIS: 58.0357 root 39-0
@VIS: 58.0357 39-0 39-1
@VIS: 58.0357 39-0 39-2
@VIS: 58.5997 root 40-0
@VIS: 58.5997 40-0 40-1
@VIS: 58.5997 40-0 40-2
@VIS: 59.3668 root 41-0
@VIS: 59.3668 41-0 41-1
@VIS: 59.3668 41-0 41-2
@VIS: 59.9033 41-1 41-3
@VIS: 59.9033 41-1 41-4
@VIS: 60.4265 root 42-0
@VIS: 60.4265 42-0 42-1
@VIS: 60.4265 42-0 42-2
@VIS: 60.992 42-1 42-3
@VIS: 60.992 42-1 42-4
@VIS: 61.4879 root 43-0
@VIS: 61.4879 43-0 43-1
@VIS: 61.4879 43-0 43-2
@VIS: 62.0596 root 44-0
@VIS: 62.0596 44-0 44-1
@VIS: 62.0596 44-0 44-2
@VIS: 62.8182 44-1 44-3
@VIS: 62.8182 44-1 44-4
@VIS: 63.3386 root 45-0
@VIS: 63.3386 45-0 45-1
@VIS: 63.3386 45-0 45-2
@VIS: 64.1178 45-1 45-3
@VIS: 64.1178 45-1 45-4
@VIS: 64.5743 root 46-0
@VIS: 64.5743 46-0 46-1
@VIS: 64.5743 46-0 46-2
@VIS: 65.1138 46-1 46-3
@VIS: 65.1138 46-1 46-4
@VIS: 65.832 46-2 46-5
@VIS: 65.832 46-2 46-6
@VIS: 66.4868 root 47-0
@VIS: 66.4868 47-0 47-1
@VIS: 66.4868 47-0 47-2
@VIS: 67.0383 root 48-0
@VIS: 67.0383 48-0 48-1
@VIS: 67.0383 48-0 48-2
@VIS: 68.0577 48-1 48-3
@VIS: 68.0577 48-1 48-4
@VIS: 68.7995 48-3 48-5
@VIS: 68.7995 48-3 48-6
@VIS: 69.274 48-5 48-7
@VIS: 69.274 48-5 48-8
@VIS: 69.7118 48-7 48-9
@VIS: 69.7118 48-7 48-10
@VIS: 70.3603 root 49-0
@VIS: 70.3603 49-0 49-1
@VIS: 70.3603 49-0 49-2
@VIS: 70.9191 root 50-0
@VIS: 70.9191 50-0 50-1
@VIS: 70.9191 50-0 50-2
@VIS: 71.4528 50-1 50-3
@VIS: 71.4528 50-1 50-4
@VIS: 71.98 root 51-0
@VIS: 71.98 51-0 51-1
@VIS: 71.98 51-0 51-2
@VIS: 72.5293 51-1 51-3
@VIS: 72.5293 51-1 51-4
@VIS: 73.0571 51-4 51-5
@VIS: 73.0571 51-4 51-6
@VIS: 73.5343 root 52-0
@VIS: 73.5343 52-0 52-1
@VIS: 73.5343 52-0 52-2
@VIS: 74.0651 52-1 52-3
@VIS: 74.0651 52-1 52-4
@VIS: 74.5709 52-3 52-5
@VIS: 74.5709 52-3 52-6
@VIS: 75.055 root 53-0
@VIS: 75.055 53-0 53-1
@VIS: 75.055 53-0 53-2
@VIS: 75.6032 53-2 53-3
@VIS: 75.6032 53-2 53-4
@VIS: 76.057 root 54-0
@VIS: 76.057 54-0 54-1
@VIS: 76.057 54-0 54-2
@VIS: 76.5846 54-1 54-3
@VIS: 76.5846 54-1 54-4
@VIS: 77.1333 54-3 54-5
@VIS: 77.1333 54-3 54-6
@VIS: 77.6089 54-5 54-7
@VIS: 77.6089 54-5 54-8
@VIS: 78.0484 54-7 54-9
@VIS: 78.0484 54-7 54-10
@VIS: 78.4717 root 55-0
@VIS: 78.4717 55-0 55-1
@VIS: 78.4717 55-0 55-2
@VIS: 79.0343 55-2 55-3
@VIS: 79.0343 55-2 55-4
@VIS: 79.4892 root 56-0
@VIS: 79.4892 56-0 56-1
@VIS: 79.4892 56-0 56-2
@VIS: 80.2404 56-1 56-3
@VIS: 80.2404 56-1 56-4
@VIS: 80.7332 56-3 56-5
@VIS: 80.7332 56-3 56-6
@VIS: 81.2417 56-5 56-7
@VIS: 81.2417 56-5 56-8
@VIS: 81.9506 56-7 56-9
@VIS: 81.9506 56-7 56-10
@VIS: 82.6276 root 57-0
@VIS: 82.6276 57-0 57-1
@VIS: 82.6276 57-0 57-2
@VIS: 83.366 root 58-0
@VIS: 83.366 58-0 58-1
@VIS: 83.366 58-0 58-2
@VIS: 84.1621 58-1 58-3
@VIS: 84.1621 58-1 58-4
@VIS: 84.9291 58-3 58-5
@VIS: 84.9291 58-3 58-6
@VIS: 85.8666 58-5 58-7
@VIS: 85.8666 58-5 58-8
@VIS: 86.3197 58-7 58-9
@VIS: 86.3197 58-7 58-10
@VIS: 86.7845 58-2 58-11
@VIS: 86.7845 58-2 58-12
@VIS: 87.2151 root 59-0
@VIS: 87.2151 59-0 59-1
@VIS: 87.2151 59-0 59-2
@VIS: 87.7909 59-2 59-3
@VIS: 87.7909 59-2 59-4
@VIS: 88.7018 59-1 59-5
@VIS: 88.7018 59-1 59-6
@VIS: 89.2038 59-5 59-7
@VIS: 89.2038 59-5 59-8
@VIS: 89.6504 59-7 59-9
@VIS: 89.6504 59-7 59-10
@VIS: 90.1105 59-3 59-11
@VIS: 90.1105 59-3 59-12
@VIS: 90.5461 59-9 59-13
@VIS: 90.5461 59-9 59-14
@VIS: 91.1737 root 60-0
@VIS: 91.1737 60-0 60-1
@VIS: 91.1737 60-0 60-2
@VIS: 91.9212 60-1 60-3
@VIS: 91.9212 60-1 60-4
@VIS: 92.4033 60-3 60-5
@VIS: 92.4033 60-3 60-6
@VIS: 92.8662 60-5 60-7
@VIS: 92.8662 60-5 60-8
@VIS: 92.8666 opt
@VIS: 98.3689 root 61-0
@VIS: 98.3689 61-0 61-1
@VIS: 98.3689 61-0 61-2
@VIS: 98.9402 61-2 61-3
@VIS: 98.9402 61-2 61-4
@VIS: 99.6755 61-3 61-5
@VIS: 99.6755 61-3 61-6
@VIS: 100.12 root 62-0
@VIS: 100.12 62-0 62-1
@VIS: 100.12 62-0 62-2
@VIS: 100.894 root 63-0
